mc3419_p.x,mc3419_p.y,mc3419_p.z,orientation.x,orientation.y,orientation.z
0.84300005,2.3460002,9.019951,0,0,0
0.53400004,2.595,9.42195,0,0,0
0.80895007,2.59695,9.71205,0,0,0
0.19395001,2.5830002,9.72105,0,0,0
0.795,2.5879502,9.726001,0,0,0
0.48405004,2.60205,9.71595,0,0,0
0.49305,2.3479502,9.475051,0,0,0
0.51195,2.3389502,8.337001,0,0,0
1.49205,2.358,7.5469503,0,0,0
3.6660001,1.542,7.5469503,0,0,0
-1.4980501,1.0530001,3.0940502,0,0,0
0.97905004,0.01905,-2.469,0,0,0
10.906051,-1.4460001,2.9929502,0,0,0
9.319051,0.22695,14.895,0,0,0
8.00895,0.109950006,16.681051,0,0,0
6.012,-0.17400001,15.111001,0,0,0
9.30405,-1.3590001,7.9590006,0,0,0
14.62005,-1.2870001,7.9590006,0,0,0
4.9230003,-5.13,2.9860501,0,0,0
11.03505,-1.33095,7.2019506,0,0,0
7.9470005,-2.5519502,2.8860002,0,0,0
10.69095,-2.049,2.5410001,0,0,0
8.269951,-2.358,2.0310001,0,0,0
6.3310504,-2.5180502,6.1750503,0,0,0
6.91695,-1.8600001,4.11105,0,0,0
10.410001,-0.54,3.18,0,0,0
8.586,-2.1330001,-0.97095007,0,0,0
7.425,-2.3170502,3.96495,0,0,0
5.4760504,-3.3630002,-0.41805002,0,0,0
6.53205,-5.6140504,-0.16605,0,0,0
11.458951,-4.4100003,0.63705003,0,0,0
6.0940504,-6.4879503,0.147,0,0,0
5.36805,-6.2460003,0.64500004,0,0,0
3.6799502,-14.2240505,2.33205,0,0,0
6.5680504,-12.250951,0.22095,0,0,0
2.53095,-5.925,1.5499501,0,0,0
1.48905,-8.82195,0.975,0,0,0
2.5810502,-7.1130004,0.73800004,0,0,0
-0.47100002,-3.5500503,0.09900001,0,0,0
0.15300001,-2.6809502,2.60295,0,0,0
-0.39195,-45.30405,4.566,0,0,0
-2.769,-4.6990504,4.5930004,0,0,0
-6.5929503,-9.057,-2.7970502,0,0,0
-2.403,-9.28905,2.95005,0,0,0
-2.14695,-9.792001,4.794,0,0,0
-2.151,-9.98805,0.70905006,0,0,0
-2.14695,-8.691,2.8140001,0,0,0
-3.10695,-9.246,3.7480502,0,0,0
-3.35295,-9.49695,1.76505,0,0,0
-1.2100501,-10.608001,0.25905,0,0,0
-0.34605002,-11.182951,1.401,0,0,0
-0.32700002,-11.746051,1.4130001,0,0,0
-0.62595004,-12.723001,-0.015000001,0,0,0
-3.1350002,-10.668,-0.777,0,0,0
-4.9240503,-10.99905,0.62295,0,0,0
-5.5630503,-11.149951,2.86905,0,0,0
-0.54195005,-10.87695,2.66295,0,0,0
-2.901,-9.31995,0.24195,0,0,0
-1.5139501,-9.31305,0.70005006,0,0,0
-4.335,-6.2359505,0.40695003,0,0,0
-2.9200501,-4.419,-0.17295001,0,0,0
-1.6170001,-6.9690003,-0.77400005,0,0,0
0.75405,-10.654051,-6.5230503,0,0,0
-0.97305006,-12.2029505,-8.125051,0,0,0
-3.0640502,-7.89795,-5.3160005,0,0,0
-8.608951,-18.05895,-5.09595,0,0,0
-2.8890002,-1.3590001,5.5069504,0,0,0
-7.5390005,-9.238951,5.2270503,0,0,0
2.1649501,-14.913001,4.02,0,0,0
1.4389501,-8.52105,0.32805002,0,0,0
-2.7520502,-10.656,0.40695003,0,0,0
-2.7139502,-8.715,1.404,0,0,0
-1.4980501,-9.0400505,-0.109050006,0,0,0
-2.50605,-9.02595,0.83100003,0,0,0
0.9580501,-11.724001,-0.07305,0,0,0
-0.31305,-12.715051,-1.8040501,0,0,0
-3.35805,-11.57295,1.983,0,0,0
-0.32700002,-15.244051,-5.604,0,0,0
0.49800003,-11.293051,-5.9989505,0,0,0
-9.37695,-15.019051,7.5690002,0,0,0
-1.50495,-12.550051,-0.25995,0,0,0
0.53400004,-8.311951,3.2380502,0,0,0
