accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
0.84047896,1.8287147,8.962317,0.027030786,-0.6954701,-0.08078693
1.6325033,1.3908281,9.442079,-0.5354234,-1.0764973,0.12751812
2.347359,0.59342,10.220344,-0.32436943,-0.79458296,-0.23365596
2.347359,0.59342,10.220344,-0.32436943,-0.79458296,-0.23365596
2.347359,0.59342,10.220344,-0.32436943,-0.79458296,-0.23365596
-0.36311084,1.8753748,9.959526,-0.6536258,-0.25244007,0.13133603
3.3511481,-0.96550393,10.2682,-0.042913284,1.2774719,-0.4813618
0.41694933,3.2847474,8.306684,0.6284276,-0.0720821,-1.0312933
2.4023938,0.4109673,8.0201435,-0.34193182,-0.14110987,-0.4361578
1.1042876,0.015553347,11.284552,-0.20021108,-0.4372268,-0.43111816
0.7938189,0.51565325,6.6915283,-0.15210545,-0.9034697,-0.15958855
1.5810575,1.6660028,12.259626,-0.13209961,0.18035796,-0.29657507
2.9012976,1.1084751,15.20878,-0.0346666,-0.24846944,0.20021108
1.9447666,0.7752745,9.485747,-0.2648101,0.27382034,-0.11942416
1.3591232,0.11246266,9.448658,0.13209961,0.5119051,-0.10552697
2.196013,0.7710871,10.018748,0.116980694,0.016187929,-0.22708915
2.2660031,0.22791636,10.004392,-0.46273044,0.81107634,-0.06795876
0.7196414,0.6550352,8.815757,0.049938235,0.13240504,-0.33673948
1.7341982,0.9702896,10.577473,-0.022143865,-0.3662137,-0.5012149
0.05682954,0.14297116,9.457033,0.2501493,-0.3303254,-0.41783184
-0.40438703,0.8141579,10.710873,0.4372268,0.75915277,-0.20448714
-0.046660043,0.8650054,9.792626,0.9246973,-0.21517728,0.24602598
0.43010986,1.0067801,8.879167,-0.20586158,0.50411654,0.16752979
1.0803595,1.0935199,9.5348,0.38347065,-0.08674286,0.37003163
4.06062,2.341377,7.77129,0.31520647,1.0961977,0.057421334
-0.75673014,0.6855437,11.006386,0.52106804,-0.16722436,0.082619525
1.0689936,2.126621,9.059227,0.77198094,0.025350908,-0.046731193
-0.2219343,2.8295128,8.733803,-0.15012014,-0.08674286,0.051159963
1.1952149,2.2211375,10.670793,-0.032528576,-0.043218717,0.2948952
0.5168497,2.0901306,9.715458,0.3213151,0.022907447,0.13057245
0.73100734,2.39701,9.613165,-0.10903945,-0.23075435,-0.08170322
0.9068798,2.62373,9.887143,-0.13958271,0.19914207,0.12721269
1.0660025,2.6111677,8.546564,0.18646662,-0.048716504,0.06719518
0.19800608,2.1433709,9.838689,-0.28389964,-0.04046982,-0.049480084
0.36430725,2.0859432,9.98166,0.2096795,0.11010846,-0.0143553335
0.83988076,2.3258235,9.913465,-0.14095716,-0.32360587,-0.08979719
0.39780676,2.0470598,9.763314,-0.2790127,-0.02443461,0.04230242
0.3367898,1.8478572,8.790632,-0.3484986,0.04337143,0.12889257
0.77766734,1.5164514,9.297911,-0.04932737,0.23472497,0.2312125
0.38883367,1.6366907,8.873184,-0.19730948,-0.017104227,0.279929
0.41694933,1.814956,9.223733,-0.23136522,0.27320948,0.30069843
0.5353941,1.6414764,9.139386,-0.4709771,0.07437284,0.37003163
0.63888365,1.4985052,9.792626,-0.37812558,0.07192938,0.33948836
0.73340017,1.3112668,9.979267,-0.37308595,-0.015118915,0.2750421
0.6664011,1.2735798,10.179666,-0.14309518,0.1518,0.29886582
0.65264237,1.2005987,9.847063,-0.21074851,-0.058490347,0.18829921
0.7088737,0.9409775,9.8117695,-0.13164146,-0.053603426,0.18829921
0.7178468,0.7968099,9.87458,-0.017715093,-0.024587326,0.15149458
0.7609176,0.7196414,9.708878,-0.06383542,0.06429356,0.113162786
0.7082755,0.62811595,9.728619,-0.08445212,-0.0936151,0.09911288
0.53240305,0.6478567,9.804591,0.026572637,0.09789115,0.060322944
0.5096712,0.6903293,9.424132,0.04046982,-0.08506299,0.073303826
0.8458628,0.5419743,9.900902,0.05024367,0.009773844,0.001985312
0.6418747,0.7196414,9.737592,-0.01160644,-0.03970624,0.0106901415
0.7704889,0.68135625,9.809377,0.04260785,0.071318515,0.022449298
0.68494546,0.6903293,9.580862,-0.017715093,-0.0664316,-0.023518313
0.58983076,0.7920243,9.903295,-0.026572637,0.031306844,-0.014202617
0.6843473,0.57547385,9.786645,0.030543262,-0.049480084,-0.045662176
0.67058855,0.60837513,9.515059,-0.035124753,-0.03756821,-0.024892759
0.7178468,0.65682983,9.690333,0.08246681,-0.025198191,-0.003970624
0.7040881,0.695115,9.690333,7.64E-04,-0.012064588,-0.00290161
0.67058855,0.7046863,9.556933,0.029168816,0.03726278,-0.033750303
0.57547385,0.6478567,9.847662,0.013133603,0.0071776668,-0.03359759
0.58983076,0.7292127,9.832706,0.0786489,0.047036625,-0.027641652
0.4851448,0.8255238,9.826724,0.08368854,-0.01450805,-0.037110064
0.509073,0.9457632,9.892527,0.1253801,0.14004086,-0.0022907446
0.46181476,0.974477,9.8015995,0.101098195,-0.04184427,0.009468411
0.5617151,0.96490574,9.825528,0.10323623,0.07742717,0.0065668016
0.53359944,1.0127622,9.620942,0.0936151,0.003970624,0.016646078
0.58624154,1.1084751,9.401401,0.14905111,0.122020334,-0.01450805
0.35353956,1.1766706,9.685548,0.010842858,-0.07345655,0.01450805
0.68135625,1.2000005,9.562318,0.15149458,0.129198,-0.010842858
0.41934216,1.2346965,10.008579,0.17501289,0.11484267,0.016187929
0.37746778,1.3591232,9.531809,0.079870634,0.05299256,-0.032528576
0.23509483,1.5475581,9.910473,0.19211712,0.1994475,0.063682705
0.24945176,1.5804594,9.605987,0.14309518,-0.017104227,0.13683382
0.30149564,1.4554343,9.597611,0.13179417,0.08857546,0.06169739
0.11246266,1.5457634,8.973683,-0.05375614,0.011148291,0.09132435
0.58624154,1.3495519,9.907482,-0.004276057,0.01572978,0.025198191
0.2542374,1.5086746,9.682557,-0.0032070426,0.08445212,0.016187929
0.27337998,1.5565311,9.744172,0.024129177,0.0364992,0.061850104
0.08255238,1.5236298,10.05823,0.07467828,0.14996742,0.07727446
0.09332009,1.608575,9.32483,0.14782938,0.08827003,-0.006872234
0.116650105,1.614557,9.695718,0.06246097,0.09086621,0.0664316
-0.106480606,1.7246269,9.485149,0.043829583,0.074067414,0.084910266
0.02632105,1.6241283,9.776475,6.11E-04,0.07513642,0.084910266
0.14536397,1.6761723,9.471989,0.1328632,0.11255192,0.037110064
0.09272188,1.6582261,9.904491,-0.03023783,0.01572978,0.021380283
0.08853444,1.6384853,9.567103,0.07742717,0.01450805,-0.027488936
0.60059845,1.3980067,9.850055,0.0125227375,-0.29000828,-0.205098
-0.3188436,1.7330018,8.6961155,-0.027947085,0.047647487,-0.11224649
0.18125631,1.6019948,10.680364,-0.09743301,-0.4176791,-0.14584407
-0.6759724,2.0955145,9.500702,0.026572637,0.05085453,0.029932396
-0.101694964,1.8550358,9.560523,-0.115453534,-0.10919216,0.13103059
0.111864455,1.7826529,9.61795,-0.026572637,0.014813482,0.09865474
0.3499503,1.6187445,9.467801,-0.111635625,-0.106901415,0.11133019
0.3062813,1.5038891,9.706485,-0.04505131,-0.014202617,0.06566802
0.3062813,1.5038891,9.706485,-0.04505131,-0.014202617,0.06566802
0.3062813,1.5038891,9.706485,-0.04505131,-0.014202617,0.06566802
0.3062813,1.5038891,9.706485,-0.04505131,-0.014202617,0.06566802
0.3062813,1.5038891,9.706485,-0.04505131,-0.014202617,0.06566802
-0.0029910284,1.494916,9.915258,-0.026725354,0.076358154,0.11789699
0.12083755,1.422533,9.892527,-0.10064005,-0.044745877,0.008246681
-0.05503492,1.5086746,9.763314,0.09972375,0.047494773,0.059406646
0.40618163,1.4117653,9.564711,-0.041080687,-0.12873985,0.06001751
0.15972091,1.5122639,9.282955,-0.016646078,-0.009468411,0.04734206
0.34396824,1.3543376,9.6173525,-0.10064005,-0.07574729,0.087964594
0.32004002,1.3357933,9.945767,-0.06505715,0.078343466,0.02367103
0.37686956,1.2771691,9.689735,0.025503624,-0.01450805,-0.0053450707
0.24885355,1.3357933,9.960124,0.09330966,0.09743301,-0.0804815
0.32063824,1.5128621,9.540184,0.05665775,-0.089186326,-0.044135015
0.09750752,1.6002002,9.672387,0.08124508,-0.011148291,-0.09728029
0.1591227,1.5080764,9.601799,0.0786489,1.53E-04,-0.017562376
0.1680958,1.4608182,9.787841,0.03283401,0.039553523,-0.05207626
0.39661035,1.3782659,9.536594,0.18234327,0.13958271,-0.13698652
0.552742,1.4608182,10.058828,0.15622878,0.16279559,-0.29520062
0.31226337,1.8107685,9.351749,0.12812899,0.013591751,-0.25778514
-0.30149564,1.9130617,9.826126,0.14446963,-0.09850202,-0.24755314
-0.7465607,2.12363,9.15793,0.0143553335,-0.042760566,-0.14248432
-0.5282156,2.0901306,9.334401,6.11E-04,0.032528576,-0.016646078
0.37746778,1.8311075,10.045668,0.09987647,-0.1001819,-0.07971791
-0.7818548,2.9413772,2.2510478,-0.4428773,0.77518797,0.009315695
-0.20817557,2.1230319,11.345569,0.66859204,-0.2857322,-0.04062254
-0.5455636,2.3048863,8.586046,-0.24205536,0.061086524,0.0076358155
0.23030917,1.9615164,10.130014,-0.031001411,-0.21899518,0.06658431
0.032303106,1.9980069,9.159725,0.0355829,-0.06352998,0.04505131
0.4211368,1.7150556,9.628718,-0.025045475,-0.13622294,-0.0012217305
0.026919255,1.7778672,9.589835,-0.04138612,0.028710667,-0.031306844
0.1363909,1.8687944,9.48455,-0.0041233404,-0.045814894,-0.01740966
-0.0011964113,2.0656042,9.34457,-0.09086621,-0.034972034,0.03145956
0.26859435,1.7635103,9.989436,-0.01038471,0.011148291,0.06307184
-0.1585245,1.9555343,9.554541,0.036651913,-0.009468411,0.0154243475
0.22671995,1.8879371,9.417552,-0.04153884,0.105068825,0.0664316
0.18843478,1.835295,9.532407,-0.0154243475,-0.0012217305,0.006872234
0.17407785,1.8203398,9.522836,-0.073303826,-0.10354166,0.062308256
0.43010986,1.7587247,9.942178,-0.06841691,-0.0795652,0.01695151
0.3786642,1.7862421,9.404391,0.04795292,-0.06490443,-0.0013744468
0.4019942,1.7575282,9.499506,-0.118966006,-0.16783522,-0.018325957
0.933799,1.6564314,9.61496,-0.15378532,-0.6574437,0.17501289
1.9651057,1.1778669,9.106484,-0.34895676,-0.91507614,-0.21975878
1.3686945,1.1431711,10.480563,0.11026118,0.3031419,-0.15118915
0.9816555,1.338186,9.16152,-0.25411993,-0.13179417,-0.25121832
1.1940185,1.0654043,9.848858,-0.17852537,-0.15806139,-0.24984388
-2.2342982,2.7044878,9.940982,-0.08032878,-0.29520062,-0.21242839
3.1806595,0.9559326,9.256635,-0.17715092,-0.2078469,-0.06704246
1.8137596,1.0271192,8.213962,-0.1432479,-0.4288274,-0.16417004
1.1371889,1.4267205,10.202397,-0.2846632,0.30848694,0.12415836
1.0223335,1.1676974,10.371092,-0.01450805,0.19593503,0.17256944
0.93738824,0.8961121,9.446265,0.049632803,-0.28023443,0.087659165
1.3004991,1.1001002,8.322237,-0.19028452,0.20341812,0.58276546
2.5208387,1.5200406,9.722038,-0.30711251,-0.23411411,-0.21777347
1.0139586,5.98E-04,11.103893,-0.3549127,0.10338894,-0.18616119
0.54376894,0.39900318,8.352147,-0.30390546,0.044898596,-0.07437284
0.04366901,-0.11425728,8.555537,-0.14431691,0.11224649,0.36270124
0.6945168,-0.10049855,8.456235,-0.07467828,-0.61407226,0.39904773
