Acellerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z
3.1082766,-1.6701902,10.430912,-0.2666427,-0.17898351,-0.14278975
2.1529422,-1.628914,8.83131,-0.025350908,-0.039095376,-0.022449298
1.867598,-2.0841484,9.809975,0.012370021,0.046120327,-0.004276057
2.6279175,-1.7760726,9.637094,0.020158553,-0.100334615,-0.13057245
2.1732812,-2.0949163,9.792028,-0.036651913,-0.3275765,-0.059406646
1.9142581,-2.6913273,9.629316,0.2275473,-0.7484626,0.47128254
2.1702902,-2.4939194,8.800801,-0.2406809,-0.5184719,0.20234911
1.1353943,-2.1038892,8.699107,0.18692477,-0.6740898,1.5271631
3.1435707,-2.716452,8.9013,0.52442783,-4.1157045,2.2322543
8.588439,-0.71724856,8.633304,0.9060659,-2.1740694,1.3278683
6.878767,-9.653843,-15.002399,-0.16523905,-2.6038132,1.6728544
6.3158555,-4.17727,7.387242,0.6073528,-5.3980637,1.2131784
7.9387875,-3.5294135,4.999803,-0.43157628,0.043676864,0.42302418
6.5455666,-6.725028,3.7920256,-0.2443461,-1.7536414,0.122020334
9.069994,-1.5343975,1.9393828,0.34574974,-1.5063937,0.54244834
5.979664,-5.2893343,5.7900324,0.63438356,-3.159395,0.5196936
6.2919273,-0.2973082,-11.416755,2.0465512,-5.21572,-0.046578474
7.4548388,-6.4677997,-4.302295,-0.40240747,0.49953505,0.3266602
5.4957156,-3.5120654,-1.7138592,-1.6468927,1.1507174,1.4005613
10.810175,-5.818148,4.4632125,-0.11484267,-1.858252,0.5535966
7.292725,-8.909077,-6.206982,-1.4966198,1.6265814,-0.21762075
8.979665,-8.002197,-1.238884,0.17852537,0.79152864,-1.0571023
8.909675,-2.6751757,0.59641105,0.055741455,-1.5158621,0.45081854
5.7786665,-6.799206,-1.5014962,0.025503624,-3.8887682,1.7692184
7.068398,-5.2947183,-2.0668006,0.14614952,0.6133087,1.2096659
6.661618,-4.5595236,-4.339982,0.9277516,-0.97051215,-0.007635816
7.088737,-4.5008993,-3.4360933,-0.3996586,0.8933904,0.6047566
2.440679,-1.9387846,-1.0229317,-2.146275,-1.5734361,0.7770206
9.854242,-9.18784,-2.3018954,0.11224649,-1.2373075,1.1809553
2.2564318,-7.7425756,-4.3268213,-0.25320363,2.091908,1.3921618
6.1764736,-9.180662,-3.6783667,0.8199339,0.4538729,0.8889617
-0.63888365,-7.665407,-5.348557,-1.1818715,-4.290107,2.47095
0.5712864,-1.1084751,1.9148563,0.32345316,-1.4443909,4.751768
-3.7226338,-32.9055,-7.173682,1.6357445,-1.6840028,4.8441615
2.9042885,-4.8699923,-4.9250274,1.0806206,-0.57604593,4.380667
1.2735798,-17.609978,-2.5908287,-1.1365148,-1.3978124,0.47647488
-0.13220344,-8.305488,-1.3208381,-0.17363845,1.1933253,-1.5517504
-3.8123646,-9.11486,-2.5274189,0.7324274,0.00870483,-1.2240212
-2.8121648,-9.090932,-3.141776,-0.16233744,-0.25259277,-0.27015516
-1.8071793,-3.0203404,-0.927817,0.36468655,-0.050549097,0.069791354
0.71724856,-7.7617183,-2.4185455,-0.42332962,-2.4110851,0.6256787
-5.078766,-12.396018,1.6923238,-0.25213462,-5.7279305,-0.015882496
-4.4482574,-12.784851,-3.4803605,0.22128594,-4.16717,0.8707884
-5.6350975,-8.753544,1.9304097,-0.27748555,-1.2330315,0.06658431
-3.6287155,-11.688938,-1.9776679,0.044593163,1.2646438,0.22159137
-0.40498522,-9.870394,-0.7860422,-0.37216964,-0.6722572,-0.39064834
-1.2646067,-7.7461653,-0.70229346,0.5374087,2.2626448,-1.1794281
-3.8027935,-10.1348,-3.330809,-0.94989544,-0.2640465,-0.20066923
-0.14656039,-9.493524,-0.71246296,-1.6212363,-3.6125042,-0.26816985
-3.6370904,-8.20798,-4.475775,-2.1335995,-2.7294986,-0.32818735
1.5002998,-10.569695,-1.2293127,-1.0167851,-0.11575896,0.77564615
1.4769697,-9.952348,-2.53041,-0.87979865,-0.5865834,-1.5948164
-8.373085,-5.428716,-1.2664014,-1.6001616,-0.17211129,-1.4153748
-3.0562327,-4.99083,-3.0263224,0.08933904,-4.5697303,-0.18616119
-0.72502524,-13.377673,-4.8382874,-0.6395759,-1.8283197,-1.6227635
-1.3573287,-7.556534,-3.0705895,0.08384126,4.355011,-2.9347494
0.4444668,-6.2177496,-2.6051857,0.29871312,1.4285084,-1.4866933
2.5615165,-9.222537,-5.3359947,0.26740626,-0.7370089,-0.41172317
0.3062813,-8.275578,-5.675177,0.05879578,-1.1548407,-0.31016684
-0.17347965,-9.334999,-5.695516,0.3155119,-1.2266175,-0.17455475
3.2039895,-8.609376,-5.6889358,0.2678644,-0.23655757,-0.6302602
1.5200406,-13.0259285,-3.2147572,1.7234036,1.1476631,-0.9324858
-4.284947,-7.099505,3.615555,-0.56337047,1.0803152,1.425454
-3.1543384,-7.4793653,0.5766702,1.6287194,1.3110695,1.1878275
-0.38404804,-11.366506,0.7046863,0.88239485,-0.5004513,2.5729644
6.7495546,-12.561123,3.094518,1.5859588,-4.4672575,2.1994202
2.928815,-7.926823,-1.0779666,2.871372,-1.9550742,-0.6588182
-0.49830532,-13.405788,-0.89312106,0.6188065,0.7689266,-0.9989174
-0.081954174,-10.104292,1.2053844,0.79443026,0.9062186,-1.6656768
-2.065006,-8.775677,1.0594223,0.60139686,1.5635096,-0.97081757
-3.2554352,-8.3013,0.3062813,0.95539325,4.190383,0.6085745
4.9058847,-9.818948,-2.4903302,-1.9068159,1.3136657,1.9220876
6.4887366,-15.39243,3.4444683,-1.2841915,1.0948232,-0.11010846
-0.6687939,-14.42214,-0.6358926,0.5360342,1.1882856,-0.4625777
-0.22253251,-11.196017,-6.6592255,-1.3477215,-2.2858577,0.029321533
-1.527219,-12.371491,-1.1300105,-5.152496,-3.349527,-0.5555819
-7.4099736,-17.397615,2.864807,-2.5923593,4.4112105,-0.2826779
-1.4931214,-9.834501,0.587438,-1.9692768,2.6661212,0.36117408
5.4670014,-5.227121,0.05623133,-0.968985,0.5334381,0.6397286
-1.1599208,-5.343771,2.6656044,-0.7293731,-1.0838276,-0.33124167
-1.7982062,-8.584251,-0.25603202,-0.95722586,-1.545031,0.22525656
-3.2949169,-6.901499,-1.4703895,0.35476,-0.37751472,0.50243664
0.55334026,-9.879367,-4.8616176,1.6804903,-0.9492846,-0.4382958
0.567099,-11.202,-15.047265,2.712547,0.3462079,0.43249258
-2.1212373,-13.375878,-7.4709907,-0.5551238,2.208736,-0.17333302
-0.52283174,-8.396415,-0.14955142,1.1468995,-0.27748555,-0.70646566
1.6486548,-6.998408,-1.8687944,-1.1820242,-2.7414105,-0.03191771
-4.2681975,2.5728827,-4.1401815,-1.9590448,0.25702155,-0.33276883
-10.729417,-19.792831,7.4913297,-3.87594,-2.0259347,1.2055426
-1.1611172,-14.036896,-0.19561325,1.7230982,-0.61544675,1.1148291
-0.8225328,-14.969499,-5.3449674,3.1456506,1.2504412,0.43172902
0.36550367,-9.524033,-4.2299123,2.6354253,0.8885035,-1.0845913
0.15014961,-8.560323,-3.2829528,1.4569136,2.4234552,-1.2475395
-3.8440695,-4.1988053,-2.519044,1.5357152,0.581391,-0.14614952
-1.713261,-10.593026,-4.5212383,0.77778417,-0.38133264,1.071763
2.0494525,-10.916656,0.104087785,0.20387627,0.06734789,0.9896017
4.0588255,-12.075977,1.032503,-0.31398472,-0.09010262,0.5508477
0.8865408,-10.173684,-0.22612174,2.8964176,1.0801625,-0.74479747
-1.4739788,-12.879966,-0.106480606,2.7656925,2.6742153,-0.09040806
0.06281159,-14.078172,-8.525627,-5.101183,9.226967,-3.5225544
-5.244469,-15.878771,3.2721848,-2.6305385,-3.7600284,-2.7108672
-4.5445685,-13.9687,5.3742795,-0.77442443,1.2841915,-0.9656252
2.2905295,-7.384849,-2.7816563,-0.028252518,1.4860824,-1.2615894
1.3190435,-6.634101,-0.032303106,-0.047800206,1.2559389,-1.3072516
-1.1994023,-5.456832,1.442872,0.43111816,0.0852157,-0.7415904
-2.9599216,-3.839284,0.61076796,0.9877691,-0.54718256,0.030390546
0.20458634,-5.1158547,0.119042926,1.1114693,-0.1253801,1.0348058
8.096115,-15.864414,-10.138988,0.73929965,-1.4036156,1.6797267
14.603396,-16.368702,-0.6765706,-0.17058411,1.9483547,-0.27687466
-2.1134605,-8.641081,1.253839,0.21151209,-0.6632469,-0.20845777
-1.8490537,-12.680763,2.4340987,0.70234233,-2.2229385,0.8232936
-3.6771703,-7.609774,1.1407782,-0.46792278,1.01312,-0.34498614
-2.9371898,-9.933804,1.1300105,-1.2168436,-0.37965274,0.6815729
-2.8552356,-9.23151,3.0263224,-0.495259,-1.2861768,1.1171198
-1.8400806,-8.456834,2.6871397,1.2173017,-1.379181,1.2586879
-0.36311084,-9.041879,1.7306089,2.1012237,-3.1100676,1.249983
-0.36370903,-9.739387,-0.084346995,2.7919595,-0.3115413,0.97402465
-1.2035898,-9.319446,-4.6989055,-7.64E-04,1.2417363,0.95814216
-0.32243285,-10.107283,1.6731812,0.26068676,0.06795876,0.8568912
0.6418747,-10.061819,1.8951155,0.22235495,0.9078985,0.93828905
3.926622,-12.192628,3.6532419,0.36835176,-0.3904956,0.95630956
1.1916257,-12.652648,-4.983651,0.069791354,3.1157181,-0.7110472
2.225325,-11.044671,-2.92044,-1.9213239,3.6548069,-1.1540772
-1.1066805,-13.579866,-0.54436713,-2.0906863,-0.4992296,-3.4391713
-7.6666036,-19.318453,2.6039891,-1.8005253,2.5550966,-3.128699
-4.9082775,-9.613165,0.9451649,0.5459608,2.199573,-1.4598153
-0.05742774,-7.1413794,0.031106694,-0.46914452,-0.81183994,-1.0285443
-0.1896312,-5.6004014,0.67178494,-0.1330159,0.3284928,-1.1108584
-5.0889354,-5.346762,0.7818548,0.25900686,-0.17531833,-0.5476407
-3.013162,-3.330809,1.2370893,0.766025,-0.54351735,0.926988
3.3918262,-9.95175,-7.187441,0.93370754,-1.2118039,1.6398678
12.866207,-20.784657,-1.2526426,0.08002335,-0.22296582,1.0471758
5.6356955,-7.3639116,-1.9992033,1.0299188,-0.3820962,-0.7811439
-3.0604203,-13.669598,1.2017952,-0.26847526,-1.5050193,-0.1020145
-4.393821,-10.038489,-1.989632,-0.5558874,0.8173377,-0.36667186
-3.9343987,-7.2843504,1.1653047,-0.9486737,0.8428413,0.08506299
-6.3541408,-9.209376,3.9403806,-0.77213365,-0.3034473,0.8347474
-4.578666,-8.959326,2.9048867,0.3753767,-1.352761,1.0080804
-1.2813566,-8.027322,1.3124632,1.2658654,-2.0131063,1.6438384
-0.67836523,-13.632509,1.4656038,3.8527272,-1.3935363,1.890017
1.9621146,-8.509476,-7.1563344,1.0305296,4.274377,1.7211128
0.034097724,-10.470394,0.29072794,0.09896017,-1.0519099,0.9595166
-0.5916254,-9.72144,0.99003035,0.49128836,-0.529162,0.7304421
2.373082,-12.565908,5.2540402,-0.1863139,0.14553864,0.47510046
0.37986058,-12.239886,0.054436713,0.7270824,1.5743525,-0.24449882
3.4941192,-9.314062,-2.766103,-1.948202,3.6354117,-1.1615603
-1.2646067,-13.913666,-0.63230336,-1.6500998,0.06582073,-4.054771
-6.285347,-20.874386,1.1252248,-0.54260105,2.6288586,-4.2499423
-6.5850477,-10.329815,-2.5136602,-0.3370449,1.208597,-1.8110627
-0.8787641,-6.526424,1.9884356,-0.25793785,-1.0549643,-0.8584184
-0.9320044,-5.8307104,-0.37986058,0.11255192,1.0526736,-1.2302825
-5.1738806,-6.348757,1.1443675,0.17363845,0.14172074,-0.7295258
-2.71047,-2.946163,0.76570326,0.6580546,-0.9091202,0.7130325
1.7659031,-9.169894,-2.7236304,0.79427755,-0.94913185,2.250733
10.622338,-19.701305,-0.6801598,-0.24327709,-0.7118107,1.6131424
13.78864,-11.906087,0.35653058,0.59406644,0.009468411,0.3036
-1.4799608,-9.167501,-0.068793654,0.19257528,-0.32834008,-0.5181664
-2.5734808,-14.343776,-5.4412785,0.3831652,-0.45723262,-0.35827246
-3.868596,-8.178069,0.9876375,-1.3718506,-0.13713925,-0.003054326
-3.8638103,-9.0029955,3.4713874,-0.75732017,-0.0983493,0.34865135
-5.569893,-9.116056,3.754937,-0.024740042,0.29733866,0.8559749
-3.9230328,-7.051648,2.3539393,1.1259774,-0.95340794,1.5558738
-1.3393825,-10.616954,1.1688938,1.3535247,-3.613268,1.9883664
1.8065811,-11.629118,-3.9397824,3.3687692,-0.59605175,2.4365888
0.87218386,-8.967701,2.268396,-0.8040514,2.7130053,0.8753699
-0.6029913,-10.309476,4.313661,0.31047225,-0.74174315,0.6899723
0.51266223,-11.287542,2.5082762,-0.10888673,0.48655418,0.65377855
0.6939186,-12.221342,1.9914266,0.74479747,0.38453966,-0.21029036
3.7800615,-11.550155,-2.5776682,-1.3180945,1.4219415,-0.84436846
-0.5916254,-10.42493,-1.125823,-2.006845,1.3353515,-3.4480288
