accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
0.127414,0.247117,0.270389,0.012746,-0.39261,-0.13654
0.474733,-0.08001,0.055985,0.059973,-0.38926,-0.10772
0.572734,0.346668,-0.77747,0.423808,-0.80101,0.217023
-0.11055,0.320204,0.673153,0.402461,-0.42979,0.056791
-0.45774,-0.80461,-0.2727,0.314436,-0.09916,-0.23136
-0.03924,0.540376,-0.64004,0.486402,0.03762,-0.05422
-0.4223,0.023873,0.454353,0.169612,0.050825,-0.16158
-0.3017,0.209253,-0.14445,0.076491,-0.03792,-0.22981
0.275534,-0.24627,0.737642,-0.01234,-0.17606,-0.18706
0.798404,-0.20169,0.465948,-0.13452,-0.30092,0.016188
-0.87168,-0.64971,0.072587,-0.48562,0.032639,0.056801
0.046606,-0.41216,-0.11614,-0.29916,0.349873,0.141641
0.118721,-0.22822,0.016043,-0.40307,1.227654,0.260245
-0.00717,0.021469,-0.93555,0.363282,0.484443,0.222531
-0.37857,-0.14023,0.826096,-0.16372,0.538761,0.432652
-1.78195,-0.61668,0.935602,-0.81424,0.438361,-0.04046
-0.12638,-0.36734,-1.38258,-0.3235,0.683416,0.008297
-1.0884,-0.15596,-0.02386,-0.22854,0.313686,-0.08414
-0.47186,-0.31483,-0.37467,-0.39358,-0.22137,-0.01224
-0.25452,-0.12776,0.00354,-0.25268,0.121115,0.087902
0.045973,-0.24885,-1.78786,-0.0388,-0.51128,-0.2862
-1.26417,-0.392,1.214557,0.228376,0.431473,-0.06249
-0.08053,1.319506,-1.79344,0.367846,-0.29069,-0.45891
0.697826,0.291166,1.430043,0.422442,0.736467,0.310721
1.379227,1.011614,2.397539,-0.62963,0.427645,0.462288
-0.96928,-1.29323,-0.49935,-0.15531,-0.49425,0.457525
-0.35029,0.0856,-0.77104,0.146995,-0.65473,0.028694
0.492377,0.58773,0.327853,0.666378,0.622375,0.119242
-1.10362,0.42568,1.619618,-1.35128,0.91656,-0.61697
-1.12574,-1.96544,-0.04051,-2.25862,1.466599,-2.82678
0.183193,3.909861,-1.07518,3.312262,3.932969,0.147621
-0.40939,1.07596,3.754884,0.479646,0.888914,0.034275
-1.08316,0.687718,1.128239,-0.53384,-1.92532,-0.70512
1.30641,1.189303,0.511119,-1.27398,-3.42958,-1.6062
-1.57789,-1.40107,2.912901,-1.72385,0.918923,-0.46842
0.245926,-2.11062,-0.7953,-1.52777,1.333104,-0.48473
0.965571,-0.28318,-2.53356,-0.4461,0.156039,-0.45884
0.213542,-1.027,-0.40263,-0.09022,0.645712,-0.42149
0.770116,-1.02189,-0.69689,-0.01131,1.48493,-0.04902
0.260296,-1.96776,1.956087,-0.98273,0.346144,-0.22899
-1.53565,-2.01032,1.433068,-0.24002,3.714381,-0.62841
-3.95144,-0.25922,-0.66068,1.138462,4.611489,-1.86322
-2.56932,-2.02268,0.375412,2.82836,7.28091,-1.58653
-1.2557,-0.93836,-2.14181,4.036574,5.919968,-2.11692
2.577055,-2.95008,-0.38405,4.568044,4.262818,-0.92841
2.529302,-3.89752,5.936964,2.192236,0.547463,-0.20046
5.292306,-3.16998,9.858456,-2.48717,-1.45585,0.561726
-0.07998,-0.83464,3.363303,-1.57433,-0.04105,0.493139
2.965243,0.23895,-1.07366,1.653618,0.397933,1.097018
0.743372,0.792188,4.795992,0.29131,2.31558,-0.51061
0.96087,2.38725,-5.43174,1.951241,1.476094,-0.86942
-0.506,2.510545,-4.85434,2.045358,0.649581,-1.69596
1.741087,3.014021,-2.65362,2.9958,-1.65125,-1.10686
-0.188,1.131574,-0.28227,2.4902,-1.3663,-1.6803
2.451207,-0.78563,0.716675,2.563369,-1.10652,-0.83189
3.892963,-3.07858,0.540463,1.799959,-0.42034,1.257752
-0.98185,-1.07674,0.809469,1.610668,-2.52715,1.388772
-2.03916,-0.79138,2.492744,2.033655,-1.11512,0.782167
-2.51596,-3.2069,8.57789,0.574132,-0.87746,1.631328
-3.41798,0.198179,1.278465,0.441311,-0.74555,0.349268
2.896539,-4.07158,-1.70194,-0.88304,-0.65846,-0.22348
12.91386,-1.97451,-2.99027,-1.01579,1.37599,0.614743
7.767654,3.872817,-2.35679,-1.36052,2.074919,0.185132
-1.7393,1.399835,-2.96408,1.06447,3.117805,-1.1791
-3.46807,4.176014,-1.47666,2.548193,4.287548,-1.70008
-0.23704,0.243701,-3.50496,1.796089,6.456056,-1.4968
2.419392,-2.7299,-0.85009,-1.1245,3.167769,-2.13032
-3.43351,-3.85483,-2.78973,0.314973,2.580611,-1.41282
-3.4965,-1.69406,-2.67055,0.859446,0.721405,-0.93322
-3.0234,-2.45609,-2.54495,0.683729,-0.24763,-0.79104
-3.43884,-1.22711,-0.51496,0.507222,-1.44308,-0.17005
-1.28343,1.668642,3.359149,-0.79387,-1.75383,0.687924
3.34753,3.260672,5.921459,-2.05468,1.07033,0.528846
-1.75624,2.925065,6.867593,-1.12989,0.46732,-0.0994
4.523464,3.566051,-0.63842,-0.65976,0.862001,0.58207
0.010472,1.424189,-5.83452,0.220854,-1.5954,-1.87644
3.164649,0.786985,-2.37185,-0.10847,-2.02447,-1.53423
1.596139,-0.13003,-3.61659,0.515497,-3.38821,-1.66025
-1.31621,-1.88288,-2.87481,2.197861,-1.93384,-1.4822
-1.27827,-3.87828,1.213764,2.209223,-0.56242,-1.29615
-2.55114,-4.94167,0.674151,1.918728,-0.38779,-1.66373
-3.14447,-5.08474,1.245651,2.207728,2.043978,-0.56692
-1.07224,-4.38643,-0.60261,1.582199,-1.7491,-2.00915
0.352917,-4.55657,-1.61609,2.338142,-0.80011,-3.06571
0.799826,-3.87643,2.828105,2.144615,1.704955,-3.82073
5.236831,27.01714,6.371193,-0.3946,-3.76814,-0.73308
0.805843,8.121195,6.296248,-3.04179,-0.14645,0.756792
-0.02429,6.746099,-1.72969,-4.76816,1.991473,-0.89482
0.090841,4.763863,-5.38227,-3.7343,-0.22951,-0.62199
-2.48036,3.165862,-8.44874,-1.52129,-0.60451,-0.0416
-2.33192,-1.64083,-4.90632,-1.95343,1.32655,0.209691
-0.79564,-5.66939,-4.52925,-2.1818,2.159777,-0.78604
0.657928,-6.37266,-5.35541,-1.96695,1.908435,-1.32961
1.890971,-4.7776,-6.67036,-0.82351,0.102018,-0.16981
1.731572,-3.52683,-5.37208,2.151968,0.245389,1.33354
-2.81068,1.992058,24.4223,-1.9929,4.680412,0.538408
-6.69585,6.466748,6.279283,-0.58261,-0.62073,-1.06252
-4.18574,-2.40215,-2.82282,-0.86885,0.991035,-0.04029
-3.65411,14.94317,-3.07852,-0.7181,-2.3391,-2.01254
0.613227,-2.70416,-7.43688,2.299105,-2.62328,-0.38395
1.263121,2.57383,-6.96309,3.298234,-0.70591,0.092848
3.803834,4.723484,-5.86671,2.622219,0.406804,0.501316
4.556376,0.694162,-3.51955,2.200151,1.401406,0.832904
3.253883,-4.64232,3.524955,4.040974,-3.56433,1.316478
0.847548,-3.31508,3.941219,1.86258,-4.24185,1.536232
-0.84806,-2.4572,1.806628,1.637402,-0.57767,0.773463
0.539362,-0.39814,2.063447,2.705878,1.55727,-0.11284
0.593852,5.788472,8.85008,2.584123,-0.26881,0.423368
