accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
0.06238470611,0.01001344449,0.4042787198,0.1528253853,0.06600315124,-0.01269143261
0.322114962,0.3011018384,0.2741676543,-0.0506901592,0.2767317593,0.2900043428
-1.474543707,0.2862438765,-0.2624345464,-0.1694473326,-0.4558090568,-0.09245551378
-1.59609781,0.2428647535,0.7136106264,0.2569363117,-0.7108923197,-1.606850386
1.818090894,-0.6508709694,0.7634113069,-1.29442358,-0.6636306643,-0.6902941465
-3.51156026,1.636105411,-0.417116574,-1.004216671,-3.669523001,-0.749409318
3.09250775,-3.01051891,0.8167951066,0.4297572374,-3.388987064,1.38013494
0.8191339248,-0.5813774542,1.239728258,-1.18603158,0.7879121304,-0.8273144364
-0.3441027027,0.300970321,-0.4882411976,-1.060500026,-0.09933151305,-1.240580559
0.5994410072,-1.096255314,-1.297655546,-0.1109690145,0.2494333088,-0.4044524431
-0.880829918,0.0005886135429,0.156625563,-0.363482058,0.3561873138,-0.3437504768
-0.2162217891,-0.05875175644,-0.7999012549,-0.2728745341,0.2537559867,-0.3546309769
-0.3336301893,0.06974427509,0.2192804643,-0.2061437517,0.1807982624,-0.3570227325
-0.8841212146,0.4603405065,-0.2363695463,0.2650716901,-0.6481986642,-0.5798062086
-0.2367954253,0.2110442586,0.4267623543,-0.1274547726,-0.4398723841,-0.6932358742
-0.2665934562,0.3700307055,-0.5264297662,-0.03039646894,-1.229864717,-0.8331657648
0.2583911162,0.0880146758,-0.3977764983,-0.16822505,-0.9178296328,-0.9146425128
0.8350188186,-0.05603752904,-1.074814175,-0.172480002,-0.8372744322,-0.8602869511
0.3520294771,-0.4638090594,-1.246548459,0.1734196991,-0.5036202073,-0.9939420819
0.9526923543,-0.1072463228,-0.8915817597,0.1747400463,-0.2518015206,-0.4589033723
-0.2144158539,-0.1987102622,0.1312070441,0.1668309569,-0.1033253595,-0.9406397343
0.5400072599,0.1674792577,-0.1652484299,0.21278584,-0.2719726861,-0.3217007518
0.4228174891,0.01036152728,0.5587292768,0.06702115387,-0.1293429583,-0.3416156769
0.3286834536,0.1834808367,-0.2573410226,0.6279445887,-0.604162693,0.0384538807
-0.77573712,-0.8647560044,2.306450311,-0.6929679513,0.02059732936,-0.532538116
-0.2517827309,1.18235685,1.584436598,-0.295334667,-0.6086078882,0.2953728139
1.498321326,2.716459392,5.824785765,0.6134062409,-3.634242773,1.55507195
3.398086149,6.550731557,7.655765513,0.9430042505,-5.720277309,3.771054029
5.795656117,10.18246484,8.405168169,-0.5665259361,-7.293177605,5.880800247
0.5967319674,11.21757829,-0.236766875,-1.167690158,-8.182437897,7.043208122
-11.25124207,7.648112953,-4.051508264,-0.2613265514,-0.3279410005,5.859607697
-13.29114397,3.351811013,-5.141006798,-0.6104785204,1.226667643,3.582334757
-14.24439513,-0.2641156313,-4.300802174,-1.007136345,2.907433748,2.312950373
-7.97498227,0.4767775543,3.11132877,-2.801382542,3.857838154,-0.7281258702
-0.6587830577,-1.038315459,-0.4575023604,-1.028147936,1.554795384,0.9109951258
5.395622195,6.184786952,-2.691186126,-2.071733952,4.87953043,4.67840004
-2.035220756,0.6641869626,-3.636868017,-0.02501844615,1.619154215,2.006953955
-0.8591261818,-0.2876461445,0.6288628435,0.156017825,2.18405962,2.668058157
-1.041502564,-0.3080880441,-0.314482129,1.562432766,2.768970013,3.193917274
