lsm6dsm_accelerometer.x,lsm6dsm_accelerometer.y,lsm6dsm_accelerometer.z,lsm6dsm_gyroscope.x,lsm6dsm_gyroscope.y,lsm6dsm_gyroscope.z
0,0,0,0,0,0
0,0,0,0,0,0
1.4617156,3.0161529,8.653643,0.2506001,-1.6677657,0.8991672
2.7595227,2.202294,9.4941225,0.3593309,-1.0703571,1.1935955
3.0586255,1.5604194,7.923533,-0.18065807,-0.934749,1.6663914
3.609274,1.4001004,9.48455,-1.0456178,-1.0899042,1.5698775
3.7791643,-0.6346962,9.151649,-1.6149274,0.06826218,0.7379035
1.2463615,-3.5509489,8.012068,-1.656465,-0.40575528,1.6993771
0.75553375,-3.167798,10.135697,-1.9912094,-0.6061132,1.8325418
1.7443677,-2.9045875,12.786048,-2.7547684,0.07314896,1.5820944
2.4792633,-1.815255,15.570396,-2.655811,-0.18340689,1.2901094
1.7970098,-2.4185455,15.9795685,-2.1634684,-0.46073154,1.4196091
4.3202415,1.1009976,12.10858,-2.2196662,2.3613827,-0.1783674
6.216553,-0.40259242,5.922236,-1.624701,1.1176977,-1.6993771
4.909175,-4.2762733,6.8485575,-2.132926,0.47019967,-2.4055166
4.109673,-5.885147,2.8935208,-0.836708,-0.76493347,-1.5112361
5.2947183,-7.8026958,6.290731,0.41675055,-1.3770025,-0.6963659
4.7392845,-6.9361944,6.8916283,-1.216655,1.6173708,-1.0017895
4.811069,-6.713363,5.7352967,-0.19287503,-1.0043856,-0.95170003
6.3481584,-3.8069808,7.1096745,-1.4768759,1.2215418,-1.0311102
5.955436,-6.567401,2.6374888,-1.2386456,0.95276904,-1.4147222
5.096114,-5.00399,3.7005002,-0.45431766,0.94788224,-1.4660335
5.4960146,-5.851648,3.5183465,0.052685577,-0.39842513,-1.2705623
8.687142,-5.916254,8.945867,-3.168923,-1.9548639,-1.2571237
6.68106,-3.1319058,-1.8155541,-2.889155,1.4707675,-0.91749257
10.504192,-6.5482583,2.524727,-0.6033644,0.6033644,-0.6914791
7.9331045,-6.2177496,1.9911275,0.12110047,0.41278005,0.04031592
7.640881,-5.382355,3.415455,0.3654394,0.031611346,0.12705623
8.641679,-5.6503515,2.6470602,0.18707198,-0.4277458,0.047646087
7.8613195,-5.5666027,2.673381,-0.1525591,-0.39842513,0.67071027
7.265208,-4.726423,2.55374,-0.36879903,0.24662958,0.88206345
6.4534426,-6.579365,1.3779668,-0.9894198,-0.17485502,2.4898133
5.689833,-7.16112,1.2343974,-0.9710944,0.31504446,3.68967
3.8344984,-8.700603,0.97597253,-0.35902548,0.6021427,2.4336154
3.1399815,-11.5352,2.7714868,-0.27472857,-0.3556658,0.72690827
3.3101711,-7.2233334,-0.39361933,-3.1420455,-1.9658592,-1.315765
3.568596,-7.4916286,-3.7597225,-1.4658808,1.568503,-0.3090887
3.5231323,-9.186645,0.15702899,0.8834379,-2.1454482,0.14293826
2.3524437,-10.654043,-1.7126628,0.32145837,-0.786924,0.029320668
1.3540385,-6.806683,0.12352947,0.27625567,-0.95307446,0.41537613
4.042674,-7.448558,0.06610172,0.3825431,-0.14675605,-0.035429142
5.3306108,-11.532807,-1.1979069,1.1167815,-0.14064758,0.8014316
2.2758734,-6.9481587,0.50189453,0.6806366,-1.7606145,1.6004198
1.2870395,-12.37538,0.6789634,0.4534014,-1.4600776,-0.028098974
1.2726825,-10.280763,2.8791637,0.22372282,-1.7887135,-0.12583454
1.605584,-9.533604,2.2926233,-0.030389652,-1.386776,0.10017895
0.1594218,-10.829018,2.3189442,0.25670856,-1.3550119,0.3347443
-2.7589245,-6.1603217,2.7212377,-0.7572979,-0.9433009,-0.5289937
-2.3422742,-10.086645,3.6308093,-0.024281178,-0.86144733,-0.59130013
2.390729,-12.2940235,2.1035903,0.23960483,-2.0782552,0.047646087
1.8257236,-8.772387,-1.8658035,0.9555178,-2.0843635,-0.88206345
6.6308107,-14.455939,-1.4901303,1.8730104,-3.5786486,-0.34329617
3.9158542,-10.8098755,0.7268199,0.7576033,-1.3855543,-0.12949961
2.2208385,-5.818148,2.1370897,0.9665131,-3.6299598,-0.38605547
1.7682959,-4.261916,1.9669002,1.0837958,-1.5736953,-0.58519167
0.7579266,-4.7718863,3.0155547,0.7979192,-2.274948,-0.042759307
5.230112,-7.556235,1.6199409,0.32390177,-1.5712519,0.58396995
5.945865,-14.290834,8.206185,0.45217967,-1.4661862,-0.5473192
6.096912,-8.283952,4.9812584,0.34711397,-0.41797224,0.36039987
0.8153543,-12.658031,0.549751,0.09666658,-0.3324536,-0.092848785
2.3261228,-17.585154,-2.9192436,-1.8348324,-0.4277458,0.6071822
0.61435723,-4.4461637,2.228017,-1.7822996,0.6094729,1.3218734
-0.051146585,0.8135597,1.6438692,-0.68277454,-0.14797775,0.99079424
0.91585284,-9.876077,-1.0854442,-1.0334009,0.9393304,0.29931515
-1.3537394,-8.185846,4.9046884,-0.76951486,2.7511034,0.25899923
9.910473,-11.760125,-0.12053844,-0.1537808,0.49585527,-0.57663983
4.9812584,-7.010372,4.397111,0.7637118,0.018172706,0.8258655
-1.0806586,-16.59632,-2.4906292,2.0429788,-1.3843327,-0.84296924
0.7962117,-16.830816,-5.9192452,1.6921996,-1.226734,0.05375456
4.648357,-2.2363918,1.8161523,1.2743801,-1.8009304,-0.8099835
0.48753762,-2.94048,-1.7437695,0.75271654,-0.95307446,-0.8942804
-0.15194423,-2.722434,2.9772696,0.74782974,-1.1155598,0.2895416
8.186744,-10.254441,4.421039,0.53403324,-1.9854063,0.78432786
-1.7724833,-13.622937,6.3457656,-0.12568182,0.27350685,-0.63894624
2.3045874,-11.616556,-5.229514,-0.9894198,-0.6696413,-0.004886778
-0.66161543,-12.047563,-0.42951167,-0.8220477,0.10491302,-1.3792931
2.1514466,-10.848161,-1.3896317,-2.180572,-0.11132691,1.6749432
3.3795629,-3.1223345,2.024627,-1.06883,0.7072084,1.1545013
-2.2322044,0.6652047,1.7706888,-0.71331686,1.169009,0.45691374
2.996412,-13.622937,2.4601207,0.38742986,1.4939797,0.5082249
8.309076,-4.0298123,-1.6456637,-0.030389652,-0.23227467,-0.5900785
3.9373896,-16.91965,7.126424,0.72461754,-0.47417018,1.5552171
3.2766714,-10.500902,-3.6544385,0.9164236,-1.7801616,-1.5234531
-2.1125634,-19.141087,-3.1803603,2.497449,-1.3452383,-0.2932067
5.47418,-8.303095,-1.384547,1.506502,-1.6286715,-0.38239038
3.5733814,-2.7439694,-0.6089734,0.17118995,-0.72095245,-1.2375766
-0.49172506,-2.4065814,0.4755735,0.2970245,-1.0447016,-0.48379102
2.5893333,-1.0633105,3.7818563,0.42530242,-1.0801307,1.064096
8.052746,-29.340193,5.7017975,-0.37002072,-1.8852273,-0.009773556
3.8656049,-8.79153,3.92064,0.0038177953,0.038941514,-0.16492876
-3.7214375,-13.424034,-3.1372895,-0.47386476,0.7572979,-1.4171656
0.97567344,-9.971789,-0.82701933,-1.9973178,-0.16263808,1.75191
0.054137614,-1.7697915,2.9748766,-1.0773818,0.72064704,1.6297405
-1.6384853,1.7353946,1.157827,-1.200773,1.1519052,0.4459185
2.2519453,-13.42882,0.8033902,0.08078455,1.3217207,0.23456535
1.6366907,-4.9322057,3.3436706,-0.85014665,2.5873964,0.39827242
8.0455675,-11.5017,1.7994026,-0.100026235,0.52273256,-0.2699945
5.9243298,-7.8003025,5.2683973,0.46073154,0.1085781,0.7745543
1.4353945,-13.704293,-6.8431735,1.8998877,-2.7478964,-0.05375456
-6.565606,-17.965612,-4.8705907,1.77894,-0.7832589,0.08674031
8.9362955,-1.3316058,1.7682959,0.9420792,-2.3103771,-1.0677611
1.1386845,-1.8774685,0.011066805,0.2677038,-0.8321267,-0.99445933
-0.19262223,-1.5254245,3.2599218,0.7380562,-1.3220261,0.4202629
6.8509502,-11.566306,4.2296133,0.63665557,-1.4881766,0.69392246
