lsm6dsv_accelerometer.x,lsm6dsv_accelerometer.y,lsm6dsv_accelerometer.z,lsm6dsv_gyroscope.x,lsm6dsv_gyroscope.y,lsm6dsv_gyroscope.z
-2.1355941,2.9569306,9.839885,-1.0306823,0.019394971,-0.28313604
-1.6169499,2.6027927,9.652647,-0.9275989,0.44868052,-0.08246681
-2.533401,2.841477,7.960921,-0.14828753,3.0356948,-0.2658791
-2.533401,2.841477,7.960921,-0.14828753,3.0356948,-0.2658791
-4.000201,0.39601216,6.1794643,-0.014813482,-1.3055718,-1.4807373
-4.063611,1.1001002,5.8821564,-0.39935315,-1.1691961,-1.5430456
-5.884549,1.6438692,10.406984,-3.3127222,-2.4584272,0.96852684
-1.1521441,-1.591227,9.732208,-1.2151637,-4.5355215,1.4043792
-0.25184458,-0.14297116,10.479965,0.50823987,-1.0433578,0.049021937
0.11365908,-0.2835495,10.155738,1.454012,-1.7305813,0.3491095
0.012562319,0.5054838,9.762118,1.4761559,-0.5697846,0.26083946
-0.06460621,0.6197411,9.769895,1.357648,-0.60246587,0.301462
0.5419743,1.6049858,9.210572,-0.3126103,-0.45051312,-0.008399397
0.6622137,0.96909314,9.626924,-0.7086037,-0.34162638,-0.17745635
0.086141616,0.76271224,10.147363,-0.47571132,-0.43753225,0.036193766
1.1694921,1.5936198,11.193027,0.97142845,-0.21533,-0.643852
0.09750752,1.5230316,10.165309,1.7476854,0.45341474,-0.26343563
1.7204394,1.0983056,9.374481,-0.39400807,1.4807373,-0.05375614
-0.64845496,0.5204389,10.962717,0.065973446,2.2159138,-0.89736104
-0.25722843,2.2468605,11.864811,2.294868,-0.83459467,-0.397826
1.1192428,2.0685952,8.09133,1.7168368,-2.0091357,0.29779682
3.0263224,3.5838501,9.503095,-0.059101213,1.5343407,0.16279559
1.2640085,3.6921253,9.769895,0.9421069,0.5684101,-0.0065668016
0.06520442,3.7016966,8.2348995,0.9272934,0.2855795,-0.044898596
0.16331014,4.0911283,8.438289,0.42730024,-0.009315695,0.04062254
0.2009971,4.077968,8.55793,0.38744128,-0.2134974,-0.09636399
0.83090764,4.59063,8.527422,0.22785273,-0.37216964,-0.112399206
0.58683974,4.7174497,8.375478,0.23609942,-0.44318274,-0.13194689
-0.19860429,4.5128636,7.681559,0.21044308,-0.07467828,-0.031612277
0.53359944,4.7174497,7.420741,0.3275765,0.8339838,0.12996158
-0.07537391,4.8006005,8.7164545,-0.06627888,0.79045963,0.20204368
-0.4779663,5.5226345,8.348558,0.37705657,0.18402316,-0.18646662
0.1381855,5.325227,7.616953,0.21319197,-0.39461896,-0.047494773
0.0849452,5.4789658,7.6773715,0.057726767,-0.40958515,-0.010995574
-0.21355942,5.595616,7.96451,0.1815797,0.34009922,0.13607024
-0.58504516,5.884549,7.3375907,0.09056077,-0.049785517,0.18219055
-0.54257256,5.7062836,7.6402826,-0.2133447,-0.14340061,0.24648413
-0.51565325,5.4311094,8.286943,-0.12370021,0.026572637,0.2611449
-0.27158538,5.4640107,8.189436,-0.063682705,-0.08903361,0.31047225
0.015553347,5.27079,8.394022,-0.080634214,-0.17486018,0.21670444
-0.05623133,5.460421,8.248658,-0.08750644,-0.10140363,0.1656972
0.0065802624,5.3647084,8.226524,-0.09315695,-0.24281894,0.18127427
0.27936205,5.2456656,8.196614,-0.05665775,-0.13561209,0.21120666
0.47198427,5.239085,8.007581,0.08811731,0.06352998,0.17180584
0.30867413,5.1738806,8.183454,0.047800206,0.18371773,0.088422745
0.20279172,5.06082,8.392825,0.021991149,0.40653083,0.081397794
-0.09990034,5.224728,8.579466,0.102319926,0.15653422,0.023060163
0.18843478,5.3982077,8.170891,0.116980694,0.022449298,0.094531395
0.55812585,5.220541,8.013563,0.016646078,-0.08475755,0.11682798
0.6346962,5.2307105,8.033304,-0.13072516,-0.21456642,-0.008093964
0.54317075,5.198407,8.180463,-0.012980887,0.06734789,0.03772093
0.3900301,5.1176496,8.274979,0.048258353,0.10552697,-0.074830994
0.14536397,5.4346986,8.045866,0.0030543262,0.19883664,-0.070249505
5.98E-04,5.305486,8.513064,-0.047800206,0.13515393,-0.042455133
-0.20458634,5.587839,8.150552,0.031154128,0.07803804,-0.017104227
-0.28594232,5.4412785,8.303693,0.02611449,0.1777618,0.04337143
-0.4869394,5.549554,8.228917,0.072540246,0.15653422,0.11927144
-0.19501504,5.4167523,8.228319,0.15836681,0.12568553,0.18081611
-0.022731815,5.7116675,8.032107,0.17379116,0.15057829,0.19379699
0.39900318,5.45085,8.163115,0.10399981,0.054367006,0.19761491
0.45583272,5.3425746,8.29771,0.1330159,0.13912456,0.044135015
0.2739782,5.2666025,8.411369,0.27565295,0.2144137,-0.027488936
0.18005991,5.480162,7.8071823,0.32528573,-0.032528576,-0.09911288
0.20578274,5.5669017,7.4153576,0.19410244,-0.004276057,-0.12415836
-0.13938192,5.5669017,7.493124,0.07727446,0.06291912,-0.17027868
-0.44626144,5.762515,7.5409803,-0.0067195175,0.2218968,-0.14966199
-0.6975078,6.013163,7.789236,0.01740966,0.23411411,-0.08903361
-0.75553375,6.2470617,7.8059855,0.037110064,0.1600467,0.070554934
-0.401396,6.181259,7.795816,-0.034513887,0.122783914,0.321926
-0.23808585,6.114858,7.783852,-0.031154128,0.25121832,0.3417791
-0.16211374,6.035297,7.975876,-0.0729984,0.27488935,0.32925636
-0.24466611,6.0514483,8.156534,0.011453724,-0.0032070426,0.2593123
0.025124637,5.938986,7.8352976,0.0355829,-0.11255192,0.35353827
0.25663024,6.096314,7.283154,0.043218717,-0.13713925,0.33200526
0.49112684,6.040681,7.3573313,0.0032070426,-0.056352317,0.30268374
0.6735796,5.916254,7.312466,-0.122478485,-0.06734789,0.26374108
0.70648086,5.8893347,7.4853473,-0.19792034,-0.06307184,0.13576481
0.715454,5.9473605,7.542177,-0.08857546,0.06169739,-0.017104227
0.41694933,6.1591253,7.73779,0.010079277,0.119729586,-0.06169739
0.31585258,6.273981,7.7736826,0.030085113,0.06566802,-0.025503624
0.35653058,6.1842504,7.431509,-0.06505715,0.02611449,0.02733622
0.35653058,5.695516,7.7742805,-0.24144448,0.15439619,-0.03573562
-0.37268212,5.7553368,8.176275,-0.12660182,0.15225816,-0.27412578
-0.23808585,5.669195,8.145168,-0.029168816,0.11927144,-0.05681047
-0.30508488,6.1328044,7.6923265,0.056046885,-0.018784106,-0.1423316
-0.506082,6.198607,7.6749787,0.058337633,0.16737708,-0.024587326
-0.6861419,6.337391,8.182856,0.1704314,-0.1966986,0.236863
-0.12622139,6.248258,7.2442703,0.09560041,0.09666943,0.3297145
0.124426775,5.7188463,8.258229,-0.23900102,0.031306844,-0.25900686
-0.061615184,5.907281,8.01117,0.1217149,0.03313944,-0.16493362
-0.029910283,5.8157554,7.468598,0.110413894,0.27840182,0.082161374
-0.0849452,5.730212,8.031509,-0.013897184,0.10781772,0.13209961
-0.13339986,5.5226345,8.304889,0.024281893,-0.0786489,0.03023783
-0.46121657,5.588437,7.7850485,0.2144137,0.094989546,0.03756821
-0.317049,5.582455,7.6678,0.118966006,0.06658431,0.10369437
-0.078963146,5.638088,7.8891363,0.13179417,-0.0067195175,0.16447547
0.11306087,5.6793647,7.6426754,0.103847094,-0.005497787,0.1133155
0.22851457,5.6410794,7.606185,0.025350908,0.02565634,0.06765333
0.1896312,5.7074804,7.6145597,-0.11071932,-0.026725354,-0.03756821
0.0735793,5.7009,7.895118,-0.118966006,0.06612616,-0.09636399
-0.19740787,5.682954,7.596614,-0.05421429,0.096516706,-0.16249016
-0.5665008,5.5447683,7.774879,-0.19440787,0.041080687,-0.1459968
-0.62452674,5.745765,7.8107715,-0.17379116,-0.15454891,-0.10888673
-0.4438686,5.729016,7.999206,-0.22831088,-0.3266602,-0.06734789
-0.5102694,5.8564334,7.816155,-0.11499538,-0.21594086,0.04444045
-0.5204389,5.715855,8.127222,-0.19120082,-0.17379116,-0.0013744468
0.04127619,5.8265233,7.573882,0.04138612,-0.08170322,0.053450707
0.018544376,5.411967,8.63151,-0.14126259,-0.40042216,0.12996158
-0.04007978,6.2584276,8.228319,-0.05681047,-0.3819435,0.06887506
-0.1160519,6.1770716,8.261818,-0.081855945,-0.45234573,0.11133019
1.198206,5.6069818,6.8339014,-0.2678644,-0.4166101,-0.31444287
1.0851451,5.343173,7.7413793,-0.5377141,0.02733622,-0.5564982
-0.12921242,6.0981083,7.990233,-0.5676465,-0.40317106,-0.35262197
0.7423732,4.118646,10.529616,-1.0238101,-0.42531493,0.19639318
1.6133606,3.9948175,8.458628,-0.122783914,0.16920967,-0.055283304
0.8135597,4.624728,8.116454,-0.15958855,-0.049938235,-0.29550606
1.1156535,3.5156546,8.915657,-0.2133447,0.55955255,-0.2950479
-0.3080759,3.958925,10.099506,-0.024892759,0.43997568,-0.2321288
0.87338024,4.008576,9.075976,-0.11759156,-0.2406809,-0.12935072
0.79920274,3.932604,8.65125,-0.16432275,-0.35002577,-0.05955936
2.2642083,3.5587256,7.72463,-0.14813483,-0.19700404,-0.2677117
0.82731843,3.1555347,8.356933,-0.4240932,0.713796,-0.082161374
0.61076796,2.8438697,8.815159,-0.6241516,0.47510046,-0.17608191
2.2845473,4.1222353,9.06162,-0.18035796,-0.5804747,-0.259465
2.6446671,1.9788643,7.3776703,-0.3840815,-1.399645,0.1339322
3.5150564,0.023330022,7.9746795,-1.0453432,-2.3041837,0.41126502
5.1296134,-0.8985049,6.2087765,-0.79412484,-3.9936843,1.3090842
2.5836504,-1.3794622,6.6011996,-1.7502817,-3.3008103,2.3058636
1.8652053,-5.642276,4.9178486,-1.7374535,-6.129575,3.7664423
2.4969103,-7.243074,2.0153549,-1.2139419,-5.046205,4.5846963
9.029316,-11.683555,2.1708884,-2.9153545,-1.982105,6.4748664
15.139987,-11.773286,10.54517,-1.3426818,0.9718866,4.0204096
14.234902,-10.293324,10.615159,-0.036957346,1.7905988,2.3764186
10.729417,-7.728219,3.8817565,0.7350236,3.8348594,1.0662653
8.830113,-6.1597238,2.541776,-2.132836,3.0144672,-0.4636467
7.222137,-9.705887,3.4396825,0.6403395,0.35460728,0.48472157
2.6392834,-8.481958,3.2626138,-0.23579398,1.2782356,0.40882155
2.6021945,-9.845867,4.016951,0.1769982,0.41615194,0.46868637
2.641078,-10.228719,2.1355941,0.2706133,0.41584653,1.212873
3.4695928,-8.231908,0.38703907,-0.47036624,0.7244862,0.7189884
-1.8681962,-8.557332,1.2783655,-0.1910481,1.7438675,1.877647
-1.4488541,-9.3816595,3.269194,-0.35903606,2.0457878,1.3663528
-0.95353985,-4.770092,1.2155539,0.22327125,-0.06658431,1.0033462
-1.4727824,-6.2901325,0.86859465,0.11407909,-2.24325,-0.09743301
-0.17108682,-7.600801,1.8041883,-0.81107634,-1.6203201,-0.46471575
2.2169502,-8.418549,3.4773695,-0.74174315,0.021533,-0.042760566
-0.7746763,-9.498908,1.439881,-1.4188873,0.57436603,-0.97494096
-0.46061835,-13.743775,3.1555347,-0.8542951,0.29184088,-0.8312349
0.19082761,-12.432508,0.81894356,-0.054367006,0.40210205,0.4868596
0.41994038,-11.732608,1.4219348,-0.38560867,0.6600399,1.1145236
-0.9762716,-12.412169,1.727618,-0.6815729,1.1032226,1.547169
-3.2973096,-11.824731,0.3714857,0.044593163,0.7099781,1.421178
-1.7587247,-8.885149,-3.7339997,0.27305678,-1.6598736,0.6062838
-1.878964,-8.388638,-1.8921245,2.8231137,1.1794281,2.2111795
-2.352743,-8.365906,1.3956138,0.7910705,0.26083946,0.12705997
-2.0380867,-6.5665035,0.17288144,0.58368176,-0.05009095,-0.053603426
-1.8574286,-7.804191,-0.79860455,-0.093767814,0.43371433,-0.72173727
-2.6691937,-9.6993065,1.4739788,0.25579983,-0.95569867,-0.76342887
-0.12263216,-8.324032,1.218545,0.17501289,-2.0314324,-0.95905846
-0.2955136,-5.002196,0.799801,-1.4804319,-1.9741638,-2.1771238
-2.312663,-9.973285,5.436493,-1.6508633,-0.97158116,-3.2192597
