acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z
0.207183838,-0.14541626,-0.904190064,0.364813387,-0.552788079,-0.474218696
0.198898315,-0.121520996,-0.937286377,0.339650244,-0.662211776,-0.396364659
0.168197632,-0.139328003,-0.920227051,0.369611859,-0.662907124,-0.649166286
0.158081055,-0.199615479,-0.894897461,-0.631685853,-0.795849741,-0.433023334
-0.013580322,-0.157363892,-0.937896729,-1.465743423,-1.958055377,-0.202489987
-0.045791626,0.097915649,-1.053985596,-0.443373442,0.628120363,-0.568165958
-0.145690918,0.045303345,-1.132751465,2.025542736,0.774513006,-2.25667572
0.627075195,-0.992080689,-0.642364502,1.2044276,-3.540340662,-2.327451229
-0.168563843,-0.088012695,-0.48564148,-2.553548813,0.121206053,-2.779522181
0.163879395,-0.29473877,-1.431686401,-1.345110416,0.978606224,-1.067068696
0.05897522,-0.02444458,-1.079025269,0.16199024,-1.756130219,-0.997210264
-0.104217529,-0.0340271,-1.202362061,1.131729484,0.844459891,-0.362978458
-0.21685791,-0.18510437,-0.618484497,-0.166056082,-1.972668648,-0.608650267
-0.278442383,-0.073303223,-1.138092041,-0.179457381,0.360533953,-1.578525066
-0.062194824,-0.271987915,-0.815582275,1.337812901,-2.861994982,-2.590070724
-0.00328064,0.018920898,-0.873092651,-0.807056069,-0.37229526,-1.404637933
-0.219299316,-0.048995972,-1.239089966,-0.3628802,0.561354935,-1.984186292
0.104003906,-0.106826782,-1.020904541,0.261979669,-0.837537527,-1.919590831
-0.086868286,-0.121841431,-0.89390564,-0.113641076,-0.82945323,-1.713652492
-0.077133179,-0.167266846,-0.832489014,-0.283219457,-0.958963573,-1.724777579
-0.164993286,-0.120956421,-0.972808838,-0.66523391,-0.592289686,-1.995740652
-0.063949585,-0.165786743,-1.112533569,-1.073283792,0.156251654,-1.805914521
-0.070831299,-0.147140503,-1.114700317,-0.519556642,0.144732148,-1.689924359
-0.118164063,-0.152069092,-0.907562256,-0.733199656,0.519585133,-1.404836059
-0.187347412,-0.069885254,-0.941040039,-0.196268052,-0.01230913,-1.477189422
-0.035705566,-0.058883667,-0.854782105,-0.154235646,-0.18522045,-0.976178229
-0.011749268,-0.078048706,-0.870071411,-0.130404338,-0.565232217,-0.607658804
0.055450439,-0.027374268,-0.851089478,0.006385461,-0.900940478,-0.092323802
0.07170105,0.04788208,-0.856781006,0.338218004,-1.213451743,0.786078036
-0.185150147,-0.0599823,-0.94203186,-0.279423654,-1.582871079,0.78945601
-0.018692017,0.161087036,-0.862304688,0.568441629,-2.811264515,1.843660355
-0.333328247,-0.012817383,-0.532531738,0.270083159,-4.406416893,2.587019682
-0.354888916,0.333206177,-0.792175293,3.165407419,-8.617767334,2.735735655
-0.171127319,0.678253174,-0.038772583,3.601284504,-5.642077923,6.215795994
-2.901046753,0.321060181,-1.812835693,4.962190151,-1.702214241,2.728583336
-2.760116577,-0.345489502,0.694778442,-0.13283208,2.832270145,-1.005777955
-0.859649658,0.626617432,-0.236816406,-0.125821576,-4.475562572,0.416109592
-2.302124023,-0.326095581,-0.103897095,3.05360508,-1.162781119,-3.969722748
-0.189453125,0.103393555,-0.374252319,-1.096946239,1.57837677,-0.499120325
0.39189148,0.830749512,0.156906128,-2.160490513,2.847066641,3.25832653
-0.964508057,0.570343018,0.15562439,-1.100378156,0.701448143,1.106497645
1.670944214,2.131011963,-0.985107422,0.337434769,-3.994837046,6.509691238
-2.611190796,0.578414917,0.191848755,-2.35537529,5.051726341,1.801618934
-0.841995239,0.081756592,0.162292481,-1.759664774,3.362166643,1.74634254
-0.447509766,0.376281738,-0.106964111,-1.002017021,3.488620996,1.705636978
-0.730331421,1.045440674,-0.209030151,-2.074193954,2.288884163,2.227218866
-0.731658936,0.662902832,-0.421295166,-3.109592199,2.558207273,0.746064067
-0.450805664,1.364349365,-0.098510742,-0.639404476,0.95739311,0.775615811
-0.340240479,1.181228638,-0.317703247,-1.380435109,1.435722351,-0.00201335
-0.269195557,0.762695313,-0.175582886,-0.093451917,-0.851714075,-0.044142429
-0.273986816,0.996002197,-0.154388428,-1.049558163,-0.16046451,-0.396065861
-0.060958862,1.043258667,0.01651001,-0.807381213,0.119998843,-0.156870306
-0.256668091,1.0572052,-0.249206543,-0.820732951,-0.026461702,-0.210810244
-0.152648926,0.752563477,0.313018799,-1.647748828,-0.026678748,1.135834694
0.031570435,0.570968628,0.051269531,-1.335422397,0.355086446,1.188243866
-0.24130249,0.01121521,0.361846924,-1.587738872,-0.838320494,-0.746484876
-0.080459595,1.519607544,0.174362183,-0.763355732,-2.856274128,3.877546787
-0.464599609,1.156478882,0.502716065,0.034476217,-0.231498212,2.206548691
-0.232879639,1.018203735,0.311630249,-0.801892459,-0.262693405,-0.429754287
0.213851929,1.001861572,0.289382935,0.042047318,-0.460662693,0.428563327
