icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z
-5.504868,7.426215,3.2914288,0.12463226,-0.049133874,-2.66E-04
-5.85921,7.004237,3.5978866,0.10226237,-0.12583065,0.08282187
-5.1984105,7.7709804,2.9993362,-0.044739787,-0.047003407,0.007190323
-5.7347116,7.330447,3.9911342,-0.052196417,-0.02356828,0.0039946237
-5.916671,7.157466,4.1635165,0.15871972,-0.022503048,0.037016846
-5.3755813,7.4549456,3.4159272,0.17576344,0.053128496,0.05512581
-5.715558,7.2819643,3.4973302,0.15658925,-0.053394806,0.05938674
-5.6389437,7.1766195,4.0677485,0.6274223,-0.031024912,0.17549714
-5.883152,7.421427,5.6724625,1.412499,0.1404776,0.30865127
-3.8660371,7.957728,0.9247604,2.240185,1.2238196,0.13182259
-3.3728316,9.625289,-3.0520086,1.2196918,-0.2078536,-0.0023967742
-5.6102133,8.2833395,-1.0779893,0.3387441,0.024367206,0.37789142
-5.3899465,8.115746,1.7489643,0.79999,0.21184821,0.6878742
-5.3324857,7.7470384,-1.8590976,-0.112914704,0.54526615,1.1512506
-2.9322984,9.649231,4.7860093,0.098001435,0.5111787,0.90518177
-2.208651,9.155427,0.009576807,-0.06604445,0.037150003,0.23088926
-1.6430209,10.957064,-1.2024878,-0.39839715,0.25978372,-0.19307348
-5.763442,7.617751,-0.8912416,-1.3134323,0.4856131,-0.4039896
-4.5322237,7.8236527,0.7763199,-1.1717563,0.3886769,-0.23461758
-4.3502645,8.738836,1.1833342,-1.568023,0.43980807,-0.2580527
-4.3023806,8.359954,2.0841527,-1.590393,0.48667833,-0.45618606
-4.8482585,7.8236527,4.3358994,-1.4135642,0.4824174,-0.6065171
-5.6868277,7.378331,5.4761376,-0.72009754,0.28428406,-0.48295003
-6.2285156,7.53156,3.9624038,0.023435127,0.006258244,-0.13448566
-5.4761376,7.378331,2.706645,-0.05965305,0.09147689,0.042343013
-5.6820393,7.569867,3.731962,-0.14061075,0.20758729,-0.054593194
-5.6102133,7.0664864,2.8221653,-0.1033276,0.2533923,-0.29107493
-6.3099184,7.0425444,3.0903158,-0.37283155,0.31837153,-0.27616167
-6.0172276,7.0808516,3.176507,-0.35365736,0.21504392,-0.2612484
-7.5124063,5.701193,3.7846344,-0.25672117,0.26510987,-0.20798674
-7.593809,6.96593,5.6102133,0.92675275,-0.6083812,0.70491797
-4.8626237,8.225879,3.9719806,1.1600387,0.43128622,0.76031005
-4.1635165,7.756615,0.87687635,1.2122352,0.92875004,0.012516488
-7.5602903,5.787384,-0.18195933,-0.39200574,2.0355272,-0.0066577066
